,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-02 16:35:14.000,2022-05-26 17:05:27,130.0,14.0,118.0,47.0,87.0,2.0,1554.0,2022-05-26 17:05:33,2022.05.26,41.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-06-02 18:09:29.000,2022-06-02 18:09:29,70.0,70.0,,1.0,20.0,,23.0,2022-06-02 18:09:42,2022.06.02,11.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-06-07 21:51:53.000,2022-06-07 21:49:37,14516.0,147.0,2003.0,194.0,4626.0,4205.0,8844.0,2022-04-23 14:36:35,7.1.2,100.0,794.0,47,True,pytest,conda-forge/pytest,['pytest'],723.0,512314.0,512314.0,https://pypi.org/project/pytest,43593306.0,43783029.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13470336.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-06-09 13:39:36.000,2022-06-09 13:39:36,12422.0,447.0,818.0,83.0,1157.0,1577.0,1686.0,2022-06-07 18:55:47,62.3.3,156.0,505.0,45,True,setuptools,conda-forge/setuptools,,487.0,171681.0,171681.0,https://pypi.org/project/setuptools,197999954.0,198602185.0,https://anaconda.org/conda-forge/setuptools,2022-06-08 00:25:01.104,42758330.0,1.0,128.0,1.0,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-06-08 12:33:03.000,2022-06-03 22:59:26,1343.0,58.0,1681.0,218.0,1123.0,1636.0,27934.0,2022-03-28 19:09:55,22.3.0,23.0,323.0,44,True,black,conda-forge/black,,324.0,155102.0,155102.0,https://pypi.org/project/black,16190542.0,16274125.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,4067193.0,1.0,22651.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-06-08 11:58:57.000,2022-06-01 06:21:12,12985.0,191.0,2470.0,298.0,4862.0,5393.0,8037.0,,,53.0,675.0,44,True,pip,conda-forge/pip,,880.0,84810.0,84810.0,https://pypi.org/project/pip,127231476.0,127803297.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,40599302.0,1.0,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-06-09 13:30:18.000,2022-06-08 15:22:30,3201.0,303.0,1227.0,530.0,727.0,778.0,37918.0,2022-05-24 06:41:38,12.4.4,100.0,166.0,43,True,rich,conda-forge/rich,,46.0,18794.0,18794.0,https://pypi.org/project/rich,8938513.0,8982661.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,1015406.0,1.0,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-06-07 20:21:24.000,2022-06-07 14:15:10,7442.0,124.0,1672.0,367.0,1427.0,3234.0,23018.0,2022-06-07 14:18:20,2022.6.7,30.0,418.0,43,True,pipenv,conda-forge/pipenv,,425.0,27645.0,27645.0,https://pypi.org/project/pipenv,5000221.0,5001835.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,51671.0,1.0,,,,,,,,,,,,,,,,
