,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-07 16:51:25.000,2022-07-07 16:51:25,141.0,24.0,119.0,47.0,92.0,2.0,1583.0,2022-07-07 16:51:30,2022.07.07,46.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-07-07 19:13:11.000,2022-07-07 19:13:11,96.0,96.0,,1.0,29.0,,27.0,2022-07-11 15:06:32,2022.07.07,16.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-07-14 11:37:08.000,2022-07-14 11:37:08,14584.0,158.0,2033.0,194.0,4678.0,4241.0,8982.0,2022-04-23 14:36:35,7.1.2,100.0,803.0,47,True,pytest,conda-forge/pytest,['pytest'],721.0,532410.0,532410.0,https://pypi.org/project/pytest,41756248.0,41953068.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14171042.0,1.0,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-07-14 01:14:09.000,2022-07-14 01:11:55,12676.0,387.0,834.0,85.0,1208.0,1597.0,1728.0,2022-07-14 00:37:58,63.2.0,160.0,514.0,45,True,setuptools,conda-forge/setuptools,,498.0,179249.0,179249.0,https://pypi.org/project/setuptools,213560336.0,214208331.0,https://anaconda.org/conda-forge/setuptools,2022-07-04 09:07:38.889,46655640.0,1.0,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-07-14 14:13:18.000,2022-07-11 14:37:46,3320.0,245.0,1257.0,527.0,756.0,800.0,38506.0,2022-07-11 14:37:31,12.5.1,100.0,179.0,43,True,rich,conda-forge/rich,,50.0,22636.0,22636.0,https://pypi.org/project/rich,10345365.0,10395940.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1213805.0,1.0,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-07-14 07:22:41.000,2022-07-14 02:26:05,1361.0,37.0,1707.0,221.0,1148.0,1652.0,28516.0,2022-06-28 00:39:09,22.6.0,24.0,327.0,43,True,black,conda-forge/black,,335.0,165368.0,165368.0,https://pypi.org/project/black,14295168.0,14383119.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4368584.0,1.0,23223.0,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-07-12 05:03:24.000,2022-07-11 12:33:33,7497.0,113.0,1677.0,365.0,1447.0,3285.0,23105.0,2022-07-04 21:27:54,2022.7.4,31.0,420.0,43,True,pipenv,conda-forge/pipenv,,401.0,28487.0,28487.0,https://pypi.org/project/pipenv,5219972.0,5221697.0,https://anaconda.org/conda-forge/pipenv,2022-07-05 18:16:11.395,56955.0,1.0,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-07-14 12:50:34.000,2022-07-11 16:52:59,13052.0,179.0,2495.0,297.0,4895.0,5432.0,8098.0,,,53.0,681.0,43,True,pip,conda-forge/pip,,891.0,88307.0,88307.0,https://pypi.org/project/pip,111538247.0,112150267.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,44065444.0,1.0,,,,,,,,,,,,,,,,
